code,w1,w2,w3
CODE032,Selbstverteidigung,Ultimate Frisbee,Social Media
CODE033,Spoken Word,Mini Quiz-Show,Batiken
CODE034,Batiken,Spoken Word,HipHop Tanzworkshop
CODE035,Selbstverteidigung,Spiel & Spaß Olympiade,Schauspiel
CODE036,Batiken,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE037,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE038,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Spoken Word
CODE039,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Social Media
CODE040,Spoken Word,Ultimate Frisbee,Batiken
CODE041,Batiken,Schauspiel,JuHu – Challenge
CODE042,Batiken,Mini Quiz-Show,Schauspiel
CODE043,Batiken,HipHop Tanzworkshop,Schauspiel
CODE044,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Graffiti
CODE045,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Batiken
CODE046,Spoken Word,Social Media,Gefühlchaos und Handlungskompetenzen
CODE047,Spoken Word,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE048,Batiken,Selbstverteidigung,Spoken Word
CODE049,Spoken Word,Spiel & Spaß Olympiade,Schauspiel
CODE050,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Ultimate Frisbee
CODE051,Batiken,HipHop Tanzworkshop,Spoken Word
CODE052,Gefühlchaos und Handlungskompetenzen,Spoken Word,Bloom it yourself - kreatives Nähen von Hand
CODE053,Batiken,Spoken Word,Spiel & Spaß Olympiade
CODE054,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,Graffiti
CODE055,Spoken Word,Schauspiel,Batiken
CODE056,Batiken,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE057,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show
CODE058,Batiken,Schauspiel,Spoken Word
CODE059,Selbstverteidigung,JuHu – Challenge,Graffiti
CODE060,Batiken,Spoken Word,Gefühlchaos und Handlungskompetenzen
CODE061,Selbstverteidigung,Graffiti,Spoken Word
CODE062,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Batiken
CODE063,Batiken,HipHop Tanzworkshop,Schauspiel
CODE064,Batiken,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen
CODE065,Spoken Word,Mini Quiz-Show,Batiken
CODE066,Batiken,Spoken Word,Mini Quiz-Show
CODE067,Batiken,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE068,Gefühlchaos und Handlungskompetenzen,Schauspiel,Ultimate Frisbee
CODE069,Spoken Word,HipHop Tanzworkshop,Social Media
CODE070,Selbstverteidigung,Ultimate Frisbee,Schauspiel
CODE071,Gefühlchaos und Handlungskompetenzen,Graffiti,Selbstverteidigung
CODE072,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE073,Batiken,Selbstverteidigung,Ultimate Frisbee
CODE074,Gefühlchaos und Handlungskompetenzen,Social Media,Ultimate Frisbee
CODE075,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE076,Batiken,JuHu – Challenge,Social Media
CODE077,Spoken Word,Gefühlchaos und Handlungskompetenzen,Social Media
CODE078,Spoken Word,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE079,Spoken Word,HipHop Tanzworkshop,Selbstverteidigung
CODE080,Batiken,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee
CODE081,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung,Batiken
CODE082,Spoken Word,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee
CODE083,Spoken Word,Mini Quiz-Show,Graffiti
CODE084,Batiken,Schauspiel,Social Media
CODE085,Batiken,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE086,Selbstverteidigung,HipHop Tanzworkshop,Bloom it yourself - kreatives Nähen von Hand
CODE087,Batiken,Spoken Word,JuHu – Challenge
CODE088,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE089,Spoken Word,Batiken,Mini Quiz-Show
CODE090,Gefühlchaos und Handlungskompetenzen,Spoken Word,Spiel & Spaß Olympiade
CODE091,Batiken,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE092,Gefühlchaos und Handlungskompetenzen,Batiken,Mini Quiz-Show
CODE093,Batiken,Graffiti,HipHop Tanzworkshop
CODE094,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand
CODE095,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand
CODE096,Selbstverteidigung,JuHu – Challenge,Spiel & Spaß Olympiade
CODE097,Spoken Word,JuHu – Challenge,Mini Quiz-Show
CODE098,Selbstverteidigung,Mini Quiz-Show,Graffiti
CODE099,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Ultimate Frisbee
CODE100,Gefühlchaos und Handlungskompetenzen,Social Media,Spoken Word
CODE101,Batiken,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand
CODE102,Selbstverteidigung,Spiel & Spaß Olympiade,Batiken
CODE103,Gefühlchaos und Handlungskompetenzen,Graffiti,HipHop Tanzworkshop
CODE104,Batiken,JuHu – Challenge,Mini Quiz-Show
CODE105,Spoken Word,Ultimate Frisbee,Social Media
CODE106,Spoken Word,HipHop Tanzworkshop,Schauspiel
CODE107,Batiken,Graffiti,Spiel & Spaß Olympiade
CODE108,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Spiel & Spaß Olympiade
CODE109,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE110,Spoken Word,Mini Quiz-Show,HipHop Tanzworkshop
CODE111,Selbstverteidigung,JuHu – Challenge,Schauspiel
CODE112,Spoken Word,Batiken,Ultimate Frisbee
CODE113,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,HipHop Tanzworkshop
CODE114,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE115,Batiken,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE116,Selbstverteidigung,Mini Quiz-Show,Social Media
CODE117,Gefühlchaos und Handlungskompetenzen,Social Media,Graffiti
CODE118,Spoken Word,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE119,Batiken,HipHop Tanzworkshop,Selbstverteidigung
CODE120,Selbstverteidigung,Graffiti,Social Media
CODE121,Spoken Word,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE122,Selbstverteidigung,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen
CODE123,Selbstverteidigung,Batiken,Ultimate Frisbee
CODE124,Batiken,Spoken Word,Selbstverteidigung
CODE125,Batiken,Spiel & Spaß Olympiade,Social Media
CODE126,Spoken Word,Graffiti,JuHu – Challenge
CODE127,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,JuHu – Challenge
CODE128,Gefühlchaos und Handlungskompetenzen,Batiken,Spiel & Spaß Olympiade
CODE129,Spoken Word,Ultimate Frisbee,Social Media
CODE130,Batiken,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE131,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Mini Quiz-Show
CODE132,Batiken,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand
CODE133,Batiken,Gefühlchaos und Handlungskompetenzen,Social Media
CODE134,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Selbstverteidigung
CODE135,Batiken,JuHu – Challenge,Ultimate Frisbee
CODE136,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Batiken
CODE137,Batiken,HipHop Tanzworkshop,Social Media
CODE138,Selbstverteidigung,Mini Quiz-Show,Schauspiel
CODE139,Spoken Word,Schauspiel,Gefühlchaos und Handlungskompetenzen
CODE140,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE141,Spoken Word,Spiel & Spaß Olympiade,Graffiti
CODE142,Batiken,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show
CODE143,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Graffiti
CODE144,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Graffiti
CODE145,Batiken,Graffiti,Mini Quiz-Show
CODE146,Spoken Word,Selbstverteidigung,Social Media
CODE147,Batiken,HipHop Tanzworkshop,Ultimate Frisbee
CODE148,Selbstverteidigung,HipHop Tanzworkshop,Bloom it yourself - kreatives Nähen von Hand
CODE149,Batiken,Social Media,HipHop Tanzworkshop
CODE150,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE151,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Bloom it yourself - kreatives Nähen von Hand
CODE152,Spoken Word,Social Media,Gefühlchaos und Handlungskompetenzen
CODE153,Batiken,Schauspiel,Bloom it yourself - kreatives Nähen von Hand
CODE154,Spoken Word,Spiel & Spaß Olympiade,HipHop Tanzworkshop
CODE155,Batiken,Mini Quiz-Show,Selbstverteidigung
CODE156,Batiken,Spoken Word,HipHop Tanzworkshop
CODE157,Spoken Word,Mini Quiz-Show,Ultimate Frisbee
CODE158,Spoken Word,Mini Quiz-Show,Ultimate Frisbee
CODE159,Batiken,Selbstverteidigung,Schauspiel
CODE160,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Spoken Word
CODE161,Gefühlchaos und Handlungskompetenzen,Social Media,Spiel & Spaß Olympiade
CODE162,Batiken,Spiel & Spaß Olympiade,JuHu – Challenge
CODE163,Batiken,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE164,Batiken,Gefühlchaos und Handlungskompetenzen,Social Media
CODE165,Selbstverteidigung,Schauspiel,Batiken
CODE166,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Ultimate Frisbee
CODE167,Batiken,Selbstverteidigung,Graffiti
CODE168,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE169,Batiken,Spiel & Spaß Olympiade,Spoken Word
CODE170,Spoken Word,Schauspiel,Batiken
CODE171,Selbstverteidigung,Batiken,Social Media
CODE172,Selbstverteidigung,HipHop Tanzworkshop,Social Media
CODE173,Batiken,Bloom it yourself - kreatives Nähen von Hand,Graffiti
CODE174,Spoken Word,Mini Quiz-Show,Ultimate Frisbee
CODE175,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Batiken
CODE176,Spoken Word,HipHop Tanzworkshop,Bloom it yourself - kreatives Nähen von Hand
CODE177,Spoken Word,Batiken,HipHop Tanzworkshop
CODE178,Batiken,Graffiti,Ultimate Frisbee
CODE179,Spoken Word,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE180,Batiken,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE181,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Schauspiel
CODE182,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE183,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,JuHu – Challenge
CODE184,Selbstverteidigung,Spoken Word,HipHop Tanzworkshop
CODE185,Batiken,Ultimate Frisbee,HipHop Tanzworkshop
CODE186,Batiken,Mini Quiz-Show,Graffiti
CODE187,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE188,Batiken,Social Media,Spiel & Spaß Olympiade
CODE189,Batiken,Schauspiel,Spiel & Spaß Olympiade
CODE190,Batiken,Social Media,Ultimate Frisbee
CODE191,Spoken Word,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand
CODE192,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Social Media
CODE193,Spoken Word,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE194,Spoken Word,Graffiti,Bloom it yourself - kreatives Nähen von Hand
CODE195,Spoken Word,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE196,Spoken Word,Schauspiel,Bloom it yourself - kreatives Nähen von Hand
CODE197,Batiken,Social Media,Selbstverteidigung
CODE198,Spoken Word,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE199,Gefühlchaos und Handlungskompetenzen,Batiken,Selbstverteidigung
CODE200,Spoken Word,Social Media,Mini Quiz-Show
CODE201,Batiken,Graffiti,Selbstverteidigung
CODE202,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Ultimate Frisbee
CODE203,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Spiel & Spaß Olympiade
CODE204,Spoken Word,Spiel & Spaß Olympiade,Graffiti
CODE205,Selbstverteidigung,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE206,Selbstverteidigung,Social Media,HipHop Tanzworkshop
CODE207,Spoken Word,Social Media,Spiel & Spaß Olympiade
CODE208,Batiken,Schauspiel,Social Media
CODE209,Selbstverteidigung,Graffiti,Social Media
CODE210,Spoken Word,HipHop Tanzworkshop,Social Media
CODE211,Batiken,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge
CODE212,Gefühlchaos und Handlungskompetenzen,Social Media,HipHop Tanzworkshop
CODE213,Gefühlchaos und Handlungskompetenzen,Graffiti,JuHu – Challenge
CODE214,Spoken Word,Graffiti,Schauspiel
CODE215,Selbstverteidigung,Graffiti,Ultimate Frisbee
CODE216,Spoken Word,Selbstverteidigung,Spiel & Spaß Olympiade
CODE217,Selbstverteidigung,Graffiti,Spoken Word
CODE218,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE219,Selbstverteidigung,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE220,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee,Selbstverteidigung
CODE221,Batiken,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE222,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Social Media
CODE223,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE224,Batiken,HipHop Tanzworkshop,JuHu – Challenge
CODE225,Spoken Word,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE226,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,HipHop Tanzworkshop
CODE227,Batiken,Social Media,Spoken Word
CODE228,Selbstverteidigung,Mini Quiz-Show,HipHop Tanzworkshop
CODE229,Batiken,Spoken Word,HipHop Tanzworkshop
CODE230,Gefühlchaos und Handlungskompetenzen,Graffiti,Schauspiel
CODE231,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop,Spiel & Spaß Olympiade
CODE232,Batiken,Gefühlchaos und Handlungskompetenzen,Ultimate Frisbee
CODE233,Selbstverteidigung,Ultimate Frisbee,Batiken
CODE234,Spoken Word,Batiken,Schauspiel
CODE235,Batiken,Mini Quiz-Show,HipHop Tanzworkshop
CODE236,Batiken,Schauspiel,Graffiti
CODE237,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Graffiti
CODE238,Selbstverteidigung,Social Media,Bloom it yourself - kreatives Nähen von Hand
CODE239,Batiken,Graffiti,Bloom it yourself - kreatives Nähen von Hand
CODE240,Spoken Word,Selbstverteidigung,HipHop Tanzworkshop
CODE241,Batiken,Bloom it yourself - kreatives Nähen von Hand,Graffiti
CODE242,Batiken,Selbstverteidigung,Spiel & Spaß Olympiade
CODE243,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge,Graffiti
CODE244,Spoken Word,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade
CODE245,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Selbstverteidigung
CODE246,Batiken,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE247,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade,HipHop Tanzworkshop
CODE248,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Batiken
CODE249,Spoken Word,JuHu – Challenge,Gefühlchaos und Handlungskompetenzen
CODE250,Batiken,Graffiti,Gefühlchaos und Handlungskompetenzen
