code,w1,w2,w3
CODE150,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Ultimate Frisbee
CODE151,Spoken Word,Gefühlchaos und Handlungskompetenzen,Spiel & Spaß Olympiade
CODE152,Spoken Word,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE153,Spoken Word,Mini Quiz-Show,Schauspiel
CODE154,Spoken Word,Ultimate Frisbee,JuHu – Challenge
CODE155,Spoken Word,Ultimate Frisbee,Selbstverteidigung
CODE156,Spoken Word,Graffiti,HipHop Tanzworkshop
CODE157,Spoken Word,Schauspiel,Selbstverteidigung
CODE158,Spoken Word,Graffiti,Social Media
CODE159,Spoken Word,Ultimate Frisbee,Schauspiel
CODE160,Spoken Word,JuHu – Challenge,HipHop Tanzworkshop
CODE161,Spoken Word,Mini Quiz-Show,Social Media
CODE162,Spoken Word,Mini Quiz-Show,Graffiti
CODE163,Spoken Word,Selbstverteidigung,Mini Quiz-Show
CODE164,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE165,Spoken Word,Batiken,Spiel & Spaß Olympiade
CODE166,Spoken Word,Spiel & Spaß Olympiade,Mini Quiz-Show
CODE167,Spoken Word,Mini Quiz-Show,Batiken
CODE168,Spoken Word,Selbstverteidigung,JuHu – Challenge
CODE169,Spoken Word,Schauspiel,HipHop Tanzworkshop
CODE170,Spoken Word,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE171,Spoken Word,JuHu – Challenge,Selbstverteidigung
CODE172,Spoken Word,Social Media,Schauspiel
CODE173,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Social Media
CODE174,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Batiken
CODE175,Spoken Word,Spiel & Spaß Olympiade,Social Media
CODE176,Spoken Word,Selbstverteidigung,Batiken
CODE177,Spoken Word,HipHop Tanzworkshop,Batiken
CODE178,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE179,Spoken Word,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE180,Spoken Word,Ultimate Frisbee,HipHop Tanzworkshop
CODE181,Spoken Word,JuHu – Challenge,HipHop Tanzworkshop
CODE182,Spoken Word,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE183,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE184,Spoken Word,Graffiti,Social Media
CODE185,Spoken Word,Mini Quiz-Show,Spiel & Spaß Olympiade
CODE186,Spoken Word,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE187,Spoken Word,Schauspiel,HipHop Tanzworkshop
CODE188,Spoken Word,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen
CODE189,Spoken Word,Spiel & Spaß Olympiade,Selbstverteidigung
CODE190,Spoken Word,Ultimate Frisbee,Selbstverteidigung
CODE191,Spoken Word,Graffiti,Batiken
CODE192,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show
CODE193,Spoken Word,Batiken,Gefühlchaos und Handlungskompetenzen
CODE194,Spoken Word,Social Media,Ultimate Frisbee
CODE195,Spoken Word,Social Media,Selbstverteidigung
CODE196,Spoken Word,Schauspiel,JuHu – Challenge
CODE197,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE198,Spoken Word,Batiken,Mini Quiz-Show
CODE199,Spoken Word,Spiel & Spaß Olympiade,Social Media
CODE200,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen
CODE201,Spoken Word,Spiel & Spaß Olympiade,HipHop Tanzworkshop
CODE202,Spoken Word,Spiel & Spaß Olympiade,Social Media
CODE203,Spoken Word,Schauspiel,Gefühlchaos und Handlungskompetenzen
CODE204,Spoken Word,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE205,Spoken Word,Selbstverteidigung,Social Media
CODE206,Spoken Word,Mini Quiz-Show,HipHop Tanzworkshop
CODE207,Spoken Word,Social Media,Ultimate Frisbee
CODE208,Spoken Word,Gefühlchaos und Handlungskompetenzen,Social Media
CODE209,Spoken Word,Ultimate Frisbee,JuHu – Challenge
CODE210,Spoken Word,Ultimate Frisbee,Mini Quiz-Show
CODE211,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE212,Spoken Word,Social Media,HipHop Tanzworkshop
CODE213,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Ultimate Frisbee
CODE214,Spoken Word,HipHop Tanzworkshop,Social Media
CODE215,Spoken Word,Ultimate Frisbee,Social Media
CODE216,Spoken Word,Schauspiel,Gefühlchaos und Handlungskompetenzen
CODE217,Spoken Word,Selbstverteidigung,Mini Quiz-Show
CODE218,Spoken Word,JuHu – Challenge,Graffiti
CODE219,Spoken Word,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE220,Spoken Word,Spiel & Spaß Olympiade,JuHu – Challenge
CODE221,Spoken Word,Selbstverteidigung,Batiken
CODE222,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Selbstverteidigung
CODE223,Spoken Word,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE224,Spoken Word,Ultimate Frisbee,Gefühlchaos und Handlungskompetenzen
CODE225,Spoken Word,Gefühlchaos und Handlungskompetenzen,Social Media
CODE226,Spoken Word,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE227,Spoken Word,JuHu – Challenge,Schauspiel
CODE228,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Spiel & Spaß Olympiade
CODE229,Spoken Word,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE230,Spoken Word,Selbstverteidigung,Spiel & Spaß Olympiade
CODE231,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,Social Media
CODE232,Spoken Word,Batiken,Mini Quiz-Show
CODE233,Spoken Word,Graffiti,Bloom it yourself - kreatives Nähen von Hand
CODE234,Spoken Word,Ultimate Frisbee,Bloom it yourself - kreatives Nähen von Hand
CODE235,Spoken Word,Batiken,Spiel & Spaß Olympiade
CODE236,Spoken Word,Social Media,Batiken
CODE237,Spoken Word,Graffiti,Social Media
CODE238,Spoken Word,Social Media,Gefühlchaos und Handlungskompetenzen
CODE239,Spoken Word,Schauspiel,Gefühlchaos und Handlungskompetenzen
CODE240,Spoken Word,Bloom it yourself - kreatives Nähen von Hand,HipHop Tanzworkshop
CODE241,Spoken Word,JuHu – Challenge,Batiken
CODE242,Spoken Word,JuHu – Challenge,Selbstverteidigung
CODE243,Spoken Word,Mini Quiz-Show,HipHop Tanzworkshop
CODE244,Spoken Word,Spiel & Spaß Olympiade,Gefühlchaos und Handlungskompetenzen
CODE245,Spoken Word,JuHu – Challenge,Bloom it yourself - kreatives Nähen von Hand
CODE246,Spoken Word,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE247,Spoken Word,Graffiti,Bloom it yourself - kreatives Nähen von Hand
CODE248,Spoken Word,Selbstverteidigung,JuHu – Challenge
CODE249,Spoken Word,Batiken,JuHu – Challenge
CODE250,Spoken Word,HipHop Tanzworkshop,Schauspiel
