code,w1,w2,w3
CODE180,HipHop Tanzworkshop,Spoken Word,Social Media
CODE181,Social Media,JuHu – Challenge,HipHop Tanzworkshop
CODE182,Batiken,Gefühlchaos und Handlungskompetenzen,Selbstverteidigung
CODE183,Mini Quiz-Show,Spoken Word,Gefühlchaos und Handlungskompetenzen
CODE184,Graffiti,Gefühlchaos und Handlungskompetenzen,Spoken Word
CODE185,,,
CODE186,,,
CODE187,,,
CODE188,,,
CODE189,Spoken Word,Graffiti,Spiel & Spaß Olympiade
CODE190,Schauspiel,Ultimate Frisbee,Mini Quiz-Show
CODE191,,,
CODE192,JuHu – Challenge,Selbstverteidigung,Ultimate Frisbee
CODE193,Mini Quiz-Show,Selbstverteidigung,Graffiti
CODE194,Social Media,Selbstverteidigung,HipHop Tanzworkshop
CODE195,Schauspiel,Social Media,Mini Quiz-Show
CODE196,,,
CODE197,Ultimate Frisbee,Selbstverteidigung,HipHop Tanzworkshop
CODE198,Batiken,Selbstverteidigung,Graffiti
CODE199,Mini Quiz-Show,Selbstverteidigung,HipHop Tanzworkshop
CODE200,,,
CODE201,,,
CODE202,Spoken Word,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE203,Social Media,Schauspiel,Bloom it yourself - kreatives Nähen von Hand
CODE204,Batiken,Gefühlchaos und Handlungskompetenzen,JuHu – Challenge
CODE205,JuHu – Challenge,HipHop Tanzworkshop,Graffiti
CODE206,,,
CODE207,Ultimate Frisbee,Graffiti,Selbstverteidigung
CODE208,Bloom it yourself - kreatives Nähen von Hand,JuHu – Challenge,HipHop Tanzworkshop
CODE209,Selbstverteidigung,Gefühlchaos und Handlungskompetenzen,HipHop Tanzworkshop
CODE210,Schauspiel,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen
CODE211,Gefühlchaos und Handlungskompetenzen,Bloom it yourself - kreatives Nähen von Hand,Spoken Word
CODE212,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show,Bloom it yourself - kreatives Nähen von Hand
CODE213,,,
CODE214,Selbstverteidigung,Mini Quiz-Show,Gefühlchaos und Handlungskompetenzen
CODE215,,,
CODE216,,,
CODE217,Spoken Word,Social Media,JuHu – Challenge
CODE218,Batiken,Spoken Word,Selbstverteidigung
CODE219,,,
CODE220,Mini Quiz-Show,Spoken Word,Bloom it yourself - kreatives Nähen von Hand
CODE221,,,
CODE222,,,
CODE223,Gefühlchaos und Handlungskompetenzen,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE224,,,
CODE225,Graffiti,JuHu – Challenge,Spiel & Spaß Olympiade
CODE226,Ultimate Frisbee,Social Media,Gefühlchaos und Handlungskompetenzen
CODE227,Mini Quiz-Show,Batiken,Social Media
CODE228,Mini Quiz-Show,Spoken Word,HipHop Tanzworkshop
CODE229,Graffiti,Social Media,HipHop Tanzworkshop
CODE230,Bloom it yourself - kreatives Nähen von Hand,Mini Quiz-Show,Schauspiel
CODE231,,,
CODE232,Selbstverteidigung,Batiken,Bloom it yourself - kreatives Nähen von Hand
CODE233,Social Media,Spiel & Spaß Olympiade,Spoken Word
CODE234,Social Media,Spoken Word,Schauspiel
CODE235,HipHop Tanzworkshop,Ultimate Frisbee,Schauspiel
CODE236,,,
CODE237,Gefühlchaos und Handlungskompetenzen,Batiken,Spiel & Spaß Olympiade
CODE238,,,
CODE239,Schauspiel,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen
CODE240,JuHu – Challenge,Graffiti,Gefühlchaos und Handlungskompetenzen
CODE241,Mini Quiz-Show,Selbstverteidigung,HipHop Tanzworkshop
CODE242,Batiken,Ultimate Frisbee,Spiel & Spaß Olympiade
CODE243,Graffiti,Social Media,Selbstverteidigung
CODE244,Bloom it yourself - kreatives Nähen von Hand,Gefühlchaos und Handlungskompetenzen,Mini Quiz-Show
CODE245,Batiken,Selbstverteidigung,Spiel & Spaß Olympiade
CODE246,HipHop Tanzworkshop,Mini Quiz-Show,Selbstverteidigung
CODE247,Social Media,Graffiti,Bloom it yourself - kreatives Nähen von Hand
CODE248,,,
CODE249,Schauspiel,Gefühlchaos und Handlungskompetenzen,Graffiti
CODE250,,,
